pet_id,issue_date,listing_date,condition,color_type,length(m),height(cm),X1,X2,breed_category,pet_category,days_stayed,total_days_stayed,total_hours_stayed,condition_is_missing,fe_ids,len_in_cm,X1_X2,Area_occupied
ANSL_69903,2016-07-10 00:00:00,2016-09-21 16:25:00,2.0,18,0.8,7.78,13,9,0.0,1,73 days 16:25:00.000000000,73,16.42,0,69903,80.0,117,622.4
ANSL_66892,2013-11-21 00:00:00,2018-12-27 17:47:00,1.0,53,0.72,14.19,13,9,0.0,2,1862 days 17:47:00.000000000,1862,17.78,0,66892,72.0,117,1021.68
ANSL_69750,2014-09-28 00:00:00,2016-10-19 08:24:00,-1.0,15,0.15,40.9,15,4,2.0,4,752 days 08:24:00.000000000,752,8.4,1,69750,15.0,60,613.5
ANSL_71623,2016-12-31 00:00:00,2019-01-25 18:30:00,1.0,53,0.62,17.82,0,1,0.0,2,755 days 18:30:00.000000000,755,18.5,0,71623,62.0,0,1104.84
ANSL_57969,2017-09-28 00:00:00,2017-11-19 09:38:00,2.0,2,0.5,11.06,18,4,0.0,1,52 days 09:38:00.000000000,52,9.63,0,57969,50.0,72,553.0
ANSL_52200,2017-10-25 00:00:00,2019-03-10 13:18:00,0.0,40,0.92,29.56,0,7,1.0,2,501 days 13:18:00.000000000,501,13.3,0,52200,92.0,0,2719.52
ANSL_75444,2018-11-06 00:00:00,2019-04-09 16:00:00,2.0,18,0.14,40.24,0,1,0.0,1,154 days 16:00:00.000000000,154,16.0,0,75444,14.000000000000002,0,563.3600000000001
ANSL_52759,2018-06-05 00:00:00,2018-09-02 17:04:00,0.0,53,0.15,25.48,7,1,1.0,1,89 days 17:04:00.000000000,89,17.07,0,52759,15.0,7,382.2
ANSL_74632,2015-10-10 00:00:00,2016-08-04 16:29:00,2.0,15,0.05,38.22,13,9,1.0,2,299 days 16:29:00.000000000,299,16.48,0,74632,5.0,117,191.1
ANSL_56464,2014-02-18 00:00:00,2017-03-17 11:38:00,2.0,15,0.55,21.26,13,9,1.0,2,1123 days 11:38:00.000000000,1123,11.63,0,56464,55.00000000000001,117,1169.3000000000002
ANSL_69485,2004-11-17 00:00:00,2016-12-15 13:33:00,0.0,52,0.3,23.06,0,1,1.0,2,4411 days 13:33:00.000000000,4411,13.55,0,69485,30.0,0,691.8
ANSL_51014,2017-06-17 00:00:00,2018-02-08 09:00:00,2.0,18,0.44,40.32,16,9,1.0,1,236 days 09:00:00.000000000,236,9.0,0,51014,44.0,144,1774.08
ANSL_76771,2017-02-07 00:00:00,2019-05-10 16:42:00,1.0,2,0.2,30.78,13,9,0.0,2,822 days 16:42:00.000000000,822,16.7,0,76771,20.0,117,615.6
ANSL_69252,2016-11-29 00:00:00,2017-05-31 00:00:00,1.0,53,0.45,5.39,13,9,0.0,2,183 days 00:00:00.000000000,183,0.0,0,69252,45.0,117,242.54999999999998
ANSL_58085,2018-01-29 00:00:00,2018-05-02 17:46:00,0.0,21,0.48,30.54,0,1,1.0,1,93 days 17:46:00.000000000,93,17.77,0,58085,48.0,0,1465.92
ANSL_63686,2016-07-20 00:00:00,2016-10-10 12:14:00,1.0,2,0.18,49.05,13,9,0.0,1,82 days 12:14:00.000000000,82,12.23,0,63686,18.0,117,882.9
ANSL_66127,2016-03-20 00:00:00,2016-11-03 13:55:00,1.0,40,0.88,49.5,7,1,0.0,2,228 days 13:55:00.000000000,228,13.92,0,66127,88.0,7,4356.0
ANSL_52366,2009-01-06 00:00:00,2019-01-27 11:56:00,1.0,2,0.93,14.83,0,7,0.0,2,3673 days 11:56:00.000000000,3673,11.93,0,52366,93.0,0,1379.19
